、 每片
恋爱 的
恋的 爱
凉了 ，
两个 人
两个 人
两两 相
两情 无
两情 相
两相 知
量取 决
了爱 情
了爱 情
了彼 此
了得 到
了的 真
了多 远
了花 前
了家 庭
了结 合
了尽 头
了渴 望
了矛 盾
了卿 卿
了人 生
了同 行
了心 灵
了要 随
了自 己
了走 到
烈持 久
烈巩 固
灵的 默
灵魂 的
灵魂 最
灵魂 里
灵魂 的
灵魂 深
领域 共
另一 颗
令你 愉
留不 住
留不 住
留下 的
留也 留
流长 而
流光 开
流年 中
路兼 程
路十 指
路思 念
缕牵 挂
缕清 风
论你 走
论如 何
论生 活
论什 么
论什 么
论怎 样
落的 锦
满蓝 色
满了 渴
满了 矛
满人 生
慢地 懂
慢地 蜕
慢慢 习
慢慢 地
慢慢 地
慢习 惯
漫长 ；
漫到 平
漫到 相
矛盾 。
么“ 爱
么悲 剧
么大 ，
么的 简
么的 不
么可 以
么鞋 ，
么样 的
么样 的
枚青 涩
没太 多
没有 准
没有 什
没有 任
没有 这
没有 理
没有 ，
没有 ，
没有 当
没有 绝
没有 绝
没有 结
没有 结
没有 想
没有 爱
每一 份
每一 片
美爱 情
美的 风
美丽 放
美丽 的
美丽 。
美丽 而
美丽 。
美妙 的
们乐 此
们所 追
们同 属
们需 要
们一 开
们总 是
迷恋 ，
妙的 是
明白 一
明了 的
明明 是
明是 爱
明心 湖
明知 输
明智 与
铭心 的
命的 那
命的 意
命定 的
命运 般
命中 有
摸不 定
磨难 只
抹桃 红
默地 关
默化 的
默默 体
默默 地
默契 。
默契 ，
默体 味
陌生 最
那份 美
那个 人
那个 家
那个 人
那个 能
那个 固
那个 背
那厚 实
那么 的
那么 大
那么 “
那枚 青
那是 一
那是 一
那些 东
那些 最
那心 底
那一 刻
那种 一
那种 没
男人 多
男人 对
男人 的
难测 ，
难的 是
难尽 ，
难收 的
难受 ，
难忘 ，
难只 会
恼和 忧
内容 ，
内心 的
能够 包
能够 彼
能够 彼
能够 借
能会 给
能嫁 给
能就 是
能了 。
能令 你
能去 深
能让 你
能如 这
能收 获
能算 是
能算 作
能算 作
能同 步
能遇 见
能执 着
能阻 止
你” 那
你爱 的
你白 头
你不 敢
你崇 拜
你带 来
你到 老
你的 无
你的 ，
你的 ，
你的 人
你的 一
你的 人
你的 真
你的 人
你的 人
你的 人
你的 人
你的 现
你的 芳
你的 人
你的 未
你付 出
你还 没
你开 心
你慢 慢
你明 白
你认 为
你身 边
你身 上
你生 命
你需 要
你眼 前
你也 不
你也 不
你也 曾
你一 起
你一 世
你用 心
你愉 快
你远 去
你走 了
你最 喜
你最 值
年少 ，
年之 后
年中 ，
念与 惦
宁可 高
扭的 瓜
努力 去
女人 的
女人 会
女人 对
女人 就
女人 多
女人 的
暖的 感
暖另 一
暖阳 。
诺你 白
怕那 个
怕它 的
怕它 的
拍拍 身
拍身 上
跑掉 ，
陪伴 在
陪伴 你
陪你 一
陪你 到
喷薄 而
碰撞 发
疲的 话
偏还 要
偏偏 还
偏偏 又
偏又 是
片的 ，
片上 都
片一 片
片云 飘
飘的 投
品就 是
品下 那
平淡 如
平淡 也
平淡 ；
平淡 却
平等 的
平复 。
破釜 沉
朴的 爱
其开 启
其实 已
其实 ，
其实 爱
其实 真
其实 所
其实 ，
起成 长
起的 豪
起风 雨
起风 雨
起看 日
起考 验
起来 一
起平 淡
起平 淡
起时 间
起享 受
起一 再
牵挂 ，
牵手 不
铅华 洗
前的 一
前月 下
潜移 默
浅岁 月
强的 人
强扭 的
悄地 把
悄悄 地
切破 釜
切源 于
且言 不
亲和 力
亲和 力
亲情 ，
青春 年
青春 ，
青春 ，
青涩 的
倾心 、
卿卿 我
卿我 我
清风 ，
清浅 岁
清香 。
晴难 测
晴圆 缺
情不 再
情到 亲
情的 质
情的 意
情的 本
情的 生
情的 质
情的 魅
情的 滋
情的 丰
情的 伟
情的 诗
情对 于
情感 ，
情感 ，
情故 事
情和 人
情就 越
情可 以
情可 以
情里 ，
情没 有
情深 。
情是 你
情是 一
情是 走
情是 灵
情书 ，
情往 往
情无 论
情相 悦
情一 样
情应 该
情有 信
情有 时
情有 始
情源 于
情愿 的
情之 所
情之 为
情中 的
秋风 中
秋收 的
秋水 也
求的 。
求的 爱
求回 报
求永 恒
曲折 只
躯壳 。
屈了 自
取决 于
去爱 ，
去卑 微
去感 觉
去管 对
去捍 卫
去坚 定
去看 对
去伤 害
去深 爱
去挽 留
去巫 心
全部 赌
劝不 了
劝也 劝
却不 可
却不 能
却常 是
却经 不
却经 不
却偏 偏
却往 往
却无 论
却想 嫁
却一 定
却一 再
却引 不
确去 爱
确有 具
然被 现
然而 ，
然后 属
然后 暗
然记 得
然选 择
然一 路
让你 爱
让你 明
让人 重
让人 毁
让人 难
让心 为
扰彼 此
热烈 ，
热烈 巩
热烈 ，
热情 ，
人爱 到
人爱 到
人并 不
人充 满
人的 温
人的 情
人的 心
人的 人
人的 却
人的 作
人的 这
人的 一
人的 幸
人的 幸
人都 不
人对 男
人对 女
人多 少
人多 少
人而 不
人更 加
人毁 灭
人会 把
人就 算
人就 是
人看 到
人可 以
人们 所
人们 总
人们 一
人们 乐
人明 知
人难 忘
人能 阻
人却 想
人却 不
人生 过
人生 章
人生 的
人生 最
人生 ，
人生 一
人生 遇
人生 不
人生 ，
人生 ，
人生 ，
人是 多
人说 ，
人说 ：
人问 ，
人相 爱
人之 间
人重 生
韧性 ，
任何 人
任何 只
认为 最
仍在 世
日久 生
日里 的
日月 山
日子 ，
融入 成
容你 的
容颜 的
容颜 ；
容易 ，
容易 相
容易 受
容易 背
容与 默
柔而 是
如宾 ？
如此 就
如果 赢
如果 输
如果 连
如果 连
如果 说
如何 也
如没 有
如水 的
如一 陪
如这 善
如这 季
入成 为
若没 有
弱的 ，
散间 ，
散了 ，
色的 天
涩的 果
山川 ，
善变 的
伤感 的
伤害 ，
伤害 ，
伤痕 。
伤心 最
赏的 眼
上并 无
上的 爱
上的 灰
上的 诱
上都 有
上了 ，
上全 部
上一 个
少个 感
少是 要
少要 有
少赞 美
身边 的
身上 的
身上 的
深爱 ；
深爱 容
深处 最
深处 同
神领 域
神秘 ，
甚至 是
声音 ，
生不 息
生不 过
生存 时
生的 精
生的 幸
生的 遗
生的 守
生的 爱
生过 程
生活 中
生活 还
生活 感
生活 和
生活 ，
生眷 恋
生命 的
生命 的
生命 中
生命 。
生命 。
生情 ，
生生 不
生一 样
生遇 到
生章 节
生之 中
生最 大
生最 远
失去 感
失为 一
诗词 佳
诗人 说
诗人 的
十指 相
时并 不
时代 远
时的 迷
时的 珍
时候 挡
时候 留
时候 ，
时候 ，
时候 很
时候 ，
时间 或
时间 的
时间 越
时时 想
时想 ，
时也 带
什么 可
什么 样
什么 鞋
什么 样
什么 悲
实爱 人
实的 风
实动 人
实而 精
实所 有
实已 经
实真 正
实证 明
使坚 强
使忠 贞
始的 ，
始的 那
始就 没
始终 如
始终 才
世的 珍
世的 ，
世间 的
世间 不
世界 那
世界 ，
世上 并
事都 是
事实 证
是爱 情
是爱 的
是爱 情
是爱 ，
是爱 情
是爱 情
是爱 情
是爱 着
是爱 情
是安 静
是比 喜
是彼 此
是不 放
是不 语
是不 小
是长 久
是唱 在
是沉 重
是春 日
是从 组
是的 关
是低 到
是对 方
是多 么
是非 常
是浮 躁
是付 诸
是改 变
是感 动
是共 担
是和 谐
是合 脚
是婚 姻
是脚 。
是恋 爱
是两 两
是灵 魂
是慢 慢
是没 有
是默 默
是那 个
是那 个
是那 种
是你 眼
是你 的
是你 崇
是你 最
是拍 拍
是悄 悄
是清 浅
是去 挽
是让 心
是人 生
是人 们
是人 们
是生 活
是失 去
是时 时
是瞬 间
是同 甘
是为 了
是为 了
是为 了
是我 的
是无 奈
是无 奈
是无 求
是现 实
是相 敬
是相 互
是相 互
是鞋 ，
是写 在
是心 灵
是心 甘
是需 要
是眼 中
是要 一
是一 朵
是一 份
是一 句
是一 种
是一 辈
是一 往
是一 次
是一 时
是一 世
是一 颗
是一 场
是一 生
是一 条
是一 种
是一 场
是一 份
是一 种
是依 赖
是以 自
是因 为
是因 为
是因 为
是因 为
是因 为
是云 的
是在 以
是找 寻
是这 样
是这 个
是真 的
是真 的
是只 顾
是追 求
是自 私
是自 此
是走 进
是最 好
是最 好
是最 合
是最 美
是最 暖
适当 保
适的 。
适的 ，
适合 。
视也 会
收的 季
收的 刻
收获 感
手不 放
手的 人
手与 子
首先 属
守风 花
守候 。
守难 ，
受被 爱
受到 的
受伤 害
受由 温
输不 起
输不 起
输了 ，
舒服 ，
舒服 了
熟悉 里
属于 你
属于 我
属于 自
属于 心
属于 艺
术的 宝
束对 方
数事 实
摔成 一
双方 已
谁都 希
谁都 希
谁也 不
谁也 离
水变 温
水变 凉
水彻 底
水倒 出
水的 人
水的 痕
水抚 慰
水难 收
水也 不
瞬间 的
说“ 爱
说明 ，
思念 与
私和 冷
送行 。
素流 年
算爱 上
算过 日
算是 爱
算作 一
算作 爱
虽然 ，
随爱 一
随着 岁
岁月 下
岁月 的
所盼 ，
所望 ，
所谓 爱
所谓 执
所以 美
所以 计
所以 说
所以 分
所以 才
所有 的
所在 。
所追 求
他的 共
他明 明
他送 行
他真 的
它的 芳
它的 温
它叫 人
它没 有
它是 心
它无 比
她值 得
太多 意
贪图 鞋
倘若 没
烫的 感
桃红 ，
体味 ，
体验 又
体验 则
天动 地
天空 ，
天气 ，
天涯 。
天涯 ，
天涯 也
天涯 不
填满 人
甜的 。
甜美 ，
挑剔 ，
条被 无
条轨 道
听心 香
庭才 开
同步 ，
同甘 共
同了 ，
同路 十
同时 也
同属 于
同行 ，
同行 ；
痛苦 的
投影 。
头来 谁
头偕 老
图鞋 的
蜕变 。
外大 诗
完美 。
挽留 ，
往不 在
往擦 肩
往今 来
往情 深
往往 不
往往 擦
望被 理
望的 眼
望两 情
微地 低
为爱 情
为爱 情
为爱 情
为爱 相
为爱 而
为彼 此
为经 得
为了 走
为了 结
为了 得
为容 颜
为深 爱
为什 么
为是 的
为适 合
为他 送
为它 是
为它 没
为物 质
为相 爱
为一 种
为在 乎
为最 好
委屈 了
伟大 是
未来 ，
味就 是
畏无 惧
谓爱 人
谓执 手
慰平 复
卫爱 情
温度 一
温了 ，
温暖 。
温暖 ，
温暖 另
温柔 而
温馨 浪
问的 骄
我爱 你
我爱 。
我不 是
我不 属
我宠 爱
我的 一
我们 需
我们 同
我我 ，
我曾 爱
巫心 不
无比 甜
无动 于
无非 就
无惧 ，
无理 和
无论 生
无论 怎
无论 你
无论 如
无命 定
无奈 、
无奈 。
无求 的
无数 事
无畏 无
物质 的
务和 责
西看 起
希望 被
希望 两
悉里 的
惜爱 来
惜的 。
习惯 的
喜欢 的
喜欢 不
喜欢 ；
喜欢 的
喜欢 你
喜交 集
喜剧 更
洗尽 ，
下的 只
下动 人
下那 枚
下一 切
下子 都
下子 都
夏雨 里
先属 于
鲜花 ，
现每 一
现实 。
现实 的
现在 不
现在 ，
限度 ，
限度 ，
限制 谁
相爱 者
相爱 最
相爱 最
相爱 了
相爱 者
相爱 的
相爱 容
相爱 双
相伴 花
相互 成
相互 信
相敬 如
相牵 ，
相容 与
相视 也
相守 风
相守 。
相守 难
相随 。
相望 的
相问 的
相依 相
相悦 ，
相知 到
相知 的
香一 瓣
香一 下
想不 到
想而 有
想过 用
想嫁 给
想将 那
想再 爱
享受 由
享受 被
像没 有
像青 春
像人 们
像为 什
像这 秋
消失 ，
小心 掉
小心 走
小于 这
些崇 拜
些东 西
些情 感
些人 明
些人 爱
些痛 苦
些最 真
鞋的 华
鞋重 要
写在 纸
欣赏 的
心爱 人
心不 是
心才 能
心弹 奏
心的 撞
心的 相
心的 表
心的 真
心底 喷
心掉 在
心房 ，
心甘 情
心更 加
心湖 。
心离 伤
心里 还
心灵 的
心灵 、
心灵 ，
心灵 ！
心去 管
心去 坚
心是 非
心疼 ，
心跳 ，
心为 爱
心香 一
心有 所
心有 所
心中 有
心走 散
心最 近
信赖 。
信心 的
幸福 ！
幸福 ；
幸福 ；
幸福 在
幸福 在
性的 选
性是 追
修行 ？
需要 的
需要 你
需要 做
须有 一
许多 人
许这 就
序幕 ，
选择 了
选择 。
学反 应
学会 正
学会 珍
学会 用
学家 说
雪月 ，
雪中 的
寻真 爱
押上 全
涯不 相
涯也 不
岩浆 般
言不 由
言不 语
言难 尽
颜的 靓
眼光 去
眼睛 ，
眼前 的
眼中 无
验又 何
验则 丰
样爱 ，
样的 碰
样的 爱
样的 姻
样热 烈
样一 言
样驿 动
遥不 可
遥远 。
要的 是
要的 是
要的 就
要的 不
要的 是
要赌 ，
要尽 最
要开 出
要你 付
要你 的
要你 的
要随 爱
要一 些
要有 点
要做 的
也不 觉
也不 觉
也不 浪
也不 是
也不 属
也不 限
也不 过
也不 离
也不 去
也不 孤
也带 给
也挡 不
也分 手
也会 温
也就 像
也可 以
也可 以
也可 以
也离 不
也留 不
也没 有
也劝 不
也是 自
也许 这
也许 ，
也曾 爱
也只 能
一般 来
一瓣 ，
一半 ，
一半 ，
一辈 子
一辈 子
一笔 一
一场 花
一场 爱
一场 输
一场 悲
一串 叮
一次 永
一次 ，
一次 次
一道 暖
一点 儿
一丁 点
一丁 点
一定 喜
一定 是
一定 是
一定 的
一段 段
一朵 鲜
一朵 花
一份 情
一份 不
一份 包
一份 笃
一份 首
一份 潜
一个 人
一个 人
一个 爱
一个 最
一个 喜
一个 转
一个 人
一个 真
一个 人
一个 人
一个 人
一个 人
一个 懂
一个 不
一个 道
一画 ，
一见 倾
一具 简
一句 “
一开 始
一颗 心
一颗 心
一颗 心
一刻 起
一路 兼
一路 思
一缕 牵
一缕 清
一抹 桃
一陪 伴
一片 云
一片 一
一片 的
一片 上
一起 看
一起 享
一起 ，
一起 成
一切 ，
一切 源
一切 破
一生 ，
一生 的
一生 的
一生 之
一时 的
一时 的
一世 的
一世 的
一条 轨
一条 被
一往 情
一下 子
一下 子
一笑 ，
一些 人
一些 崇
一言 难
一样 。
一样 ，
一再 的
一再 地
一阵 风
一种 命
一种 灵
一种 心
一种 亲
一种 爱
一种 懂
一种 明
一种 美
一种 怎
依赖 彼
依然 记
依相 随
遗憾 ，
遗憾 ，
移的 执
移默 化
已经 很
已经 刻
已融 入
已走 到
已足 够
以才 会
以分 手
以后 的
以后 ，
以计 较
以来 ，
以美 ，
以让 人
以让 人
以是 两
以是 低
以是 自
以说 ，
以填 满
以为 是
以为 爱
以有 除
以这 样
以重 情
以自 以
以阻 止
艺术 的
易背 负
易变 的
易受 伤
易相 守
意外 ，
意义 在
意义 在
意义 上
忆的 潮
义上 的
义务 和
义在 于
义在 于
溢满 蓝
因为 它
因为 在
因为 物
因为 容
因为 经
因为 爱
因为 适
因为 相
因为 深
因为 它
因为 爱
音符 ，
音乐 家
阴晴 难
阴晴 圆
姻的 成
姻缘 ，
姻缘 ，
引不 来
应该 有
应越 激
赢了 ，
盈沉 甸
影忽 然
拥有 真
永别 ！
永恒 ，
永恒 ，
永远 不
永远 是
永远 都
永驻 ，
用理 解
用心 弹
用一 颗
忧伤 。
忧伤 ；
由就 是
由温 馨
由衷 。
有爱 ，
有除 去
有当 初
有道 道
有的 真
有点 宠
有多 少
有多 少
有否 被
有各 种
有挂 念
有好 的
有结 局
有结 局
有具 有
有绝 对
有绝 对
有理 由
有留 不
有默 契
有人 说
有韧 性
有任 何
有时 候
有时 并
有什 么
有始 终
有水 的
有所 望
有所 盼
有甜 的
有想 不
有想 过
有些 情
有些 人
有信 心
有一 种
有一 个
有一 些
有一 种
有一 种
有一 种
有义 务
有这 样
有真 正
有准 备
有最 合
友情 ，
诱惑 ；
又扯 不
又充 满
又踌 躇
又何 尝
又是 爱
又忧 伤
又有 多
于彼 此
于你 ，
于人 生
于生 生
于我 ，
于相 爱
于心 的
于心 灵
于艺 术
于这 个
于忠 贞
于衷 ，
于自 我
愉快 的
雨的 不
雨里 的
雨却 经
雨同 路
雨与 共
与惦 记
与共 ；
与理 性
与默 契
与子 偕
语而 有
域共 鸣
遇到 了
遇见 一
欲都 没
圆缺 ，
源于 心
源于 彼
缘份 。
缘聚 缘
缘散 间
远比 鞋
远不 是
远的 遥
远的 观
远都 是
远离 了
远去 ，
远是 婚
远远 的
愿爱 在
愿的 理
愿离 开
越不 愿
越大 ，
越激 烈
越久 ，
越热 烈
月的 流
月山 川
月下 动
月下 ，
云的 决
云飘 的
运般 的
再爱 一
再的 折
再地 去
再见 。
再永 恒
在爱 情
在不 同
在地 上
在乎 ，
在精 神
在灵 魂
在灵 魂
在你 身
在平 等
在世 间
在一 条
在以 后
在于 生
在于 忠
在于 ：
在于 ：
在这 个
在纸 上
在组 合
在嘴 里
在朦 胧
赞美 爱
躁和 易
造更 多
燥的 等
责任 ，
择了 同
则丰 富
怎样 热
怎样 驿
曾爱 过
曾爱 过
曾经 青
赠礼 ，
展现 。
章节 里
找寻 真
找一 个
折磨 。
折只 会
哲学 家
者的 灵
者互 不
这才 叫
这个 花
这个 限
这个 时
这季 节
这就 是
这就 是
这就 是
这就 像
这秋 收
这善 变
这世 上
这是 爱
这是 生
这是 现
这是 无
这是 一
这说 明
这些 痛
这样 的
这样 一
这样 爱
这一 生
这种 爱
珍视 ，
珍惜 爱
珍惜 。
珍惜 的
真爱 没
真爱 ，
真爱 ，
真诚 换
真的 爱
真的 缘
真的 爱
真感 情
真理 。
真实 动
真心 爱
真心 离
真正 的
真正 意
真正 的
真正 爱
真正 的
真正 相
真正 陪
贞不 渝
贞的 心
阵风 来
正爱 你
正的 爱
正的 爱
正的 幸
正陪 你
正确 去
正相 爱
正意 义
证明 。
证明 了
知到 覆
知道 心
知的 心
知输 不
知真 心
之不 易
之后 ，
之间 有
之上 。
之手 与
之所 以
之为 爱
之中 。
之中 ，
执地 牵
执手 ，
执着 。
执着 。
执着 容
执子 之
值得 珍
值得 我
指相 牵
止一 场
止一 场
只顾 疯
只顾 享
只顾 风
只会 使
只会 使
只能 算
只能 算
只能 够
只贪 图
只因 为
只有 道
只有 最
只愿 爱
只在 灵
只在 精
纸上 ，
至是 沉
制谁 ，
制造 更
智与 理
质的 保
质的 富
质量 取
质量 。
质朴 的
中的 一
中的 一
中的 磨
中的 曲
中外 大
中无 ，
中有 一
中有 ，
忠贞 不
忠贞 的
终才 能
终如 一
终生 眷
终生 的
种爱 ，
种爱 ，
种懂 你
种理 由
种灵 魂
种没 太
种美 丽
种明 智
种命 运
种亲 和
种心 疼
种一 见
种怎 样
重的 ，
重的 永
重情 ，
重生 ，
重演 。
重要 的
重要 的
重要 的
重要 ，
重要 。
诸在 组
逐渐 离
逐天 涯
住— —
住的 容
注定 了
注以 后
转身 ，
转身 ，
撞发 生
撞击 ，
追求 永
追求 的
追忆 的
准备 好
捉摸 不
着容 易
着水 ，
着岁 月
滋味 就
子的 幸
子都 爱
子都 跑
子都 消
子害 怕
子很 舒
子寂 寞
子难 受
子舒 服
子之 手
子偕 老
自此 天
自古 以
自己 有
自己 的
自己 感
自内 心
自私 和
自我 。
自以 为
总会 逐
总是 比
总是 找
总想 将
总以 为
总有 各
总有 一
总有 留
总有 想
纵然 一
走到 了
走到 一
走的 时
走进 你
走了 。
走了 多
走散 了
奏的 音
足够 爱
足够 了
阻止 一
阻止 一
组合 的
组合 了
嘴里 ，
最大 努
最大 的
最短 的
最好 的
最好 的
最好 的
最合 适
最合 适
最后 能
最近 ，
最看 重
最刻 骨
最美 妙
最美 的
最暖 的
最深 处
最喜 欢
最远 。
最真 实
最值 得
最质 朴
最重 要
最重 要
最重 要
做的 ，
作爱 情
作品 就
作是 人
作一 时
偕老 ，
偕老 。
馨浪 漫
莞尔 一
掬一 缕
惆怅 、
驿动 的
胧的 青
朦胧 的
聆听 心
笃定 不
靓丽 。
魅力 所
